run_id,geometry_id,d,d_pub,d_priv,cells,cell_seed,key_seed,target_cell,target_cell_size,target_cell_ag_news,target_cell_synthetic_pii,n_test,n_test_ag_news,n_test_synthetic_pii,method,m,target_position,corpus_index,source,reference,hypothesis,token_f1,bleu,exact_match,normalized_exact_match,pii_hits,pii_total,pii_item_hits,geometry_cosine,recovered_text_embedding_cosine
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,ols_m16,16,0,312,ag_news,Warren tones down his bark #39; #39;The views of the host do not necessarily reflect the views of the station or its sponsors. #,a host retorts that his views do not necessarily translate into the views of the station's sponsors. Warren repeats: In,0.5777777777777778,0.13282270027426418,0.0,0.0,0,0,{},0.9777805805206299,0.8471581935882568
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,ols_m16,16,1,203,ag_news,PeopleSoft sweetens employee compensation Business software maker PeopleSoft Friday said it was boosting compensation packages for all employees except its chief executive in a move,company president Boosting PeopleSoft Inc a spokesman for PeopleSoft said the compensation packages for employees are only employee-couple software and boost,0.46808510638297873,0.07353922010374822,0.0,0.0,0,0,{},0.9902032613754272,0.8546895980834961
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,ols_m8,8,0,312,ag_news,Warren tones down his bark #39; #39;The views of the host do not necessarily reflect the views of the station or its sponsors. #,"a reflection of the host's views. Warren states the views do not always ""strain the station into a sponsor"". Langhorne repeat",0.4782608695652174,0.05341415153713213,0.0,0.0,0,0,{},0.9764925837516785,0.7914205193519592
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,ols_m8,8,1,203,ag_news,PeopleSoft sweetens employee compensation Business software maker PeopleSoft Friday said it was boosting compensation packages for all employees except its chief executive in a move,company president Boosting PeopleSoft Inc a spokesman for PeopleSoft said the compensation packages for employees are only part of employee compensation software saps,0.4999999999999999,0.08605107431263476,0.0,0.0,0,0,{},0.989529550075531,0.8746520280838013
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,oracle_residual,,0,312,ag_news,Warren tones down his bark #39; #39;The views of the host do not necessarily reflect the views of the station or its sponsors. #,resonates about the host's views. Warren notes that the views of the host do not translate into the views of his sponsors; the station,0.6122448979591836,0.24919099664125402,0.0,0.0,0,0,{},1.0000001192092896,0.855434775352478
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,oracle_residual,,1,203,ag_news,PeopleSoft sweetens employee compensation Business software maker PeopleSoft Friday said it was boosting compensation packages for all employees except its chief executive in a move,a compensation package PeopleSoft chief spokesman said the company is boosting compensation for all PeopleSoft employees with benefits to the lowest e-pay,0.4583333333333333,0.05489146294919027,0.0,0.0,0,0,{},1.0000001192092896,0.8867105841636658
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,prefix_only,,0,312,ag_news,Warren tones down his bark #39; #39;The views of the host do not necessarily reflect the views of the station or its sponsors. #,a host entails. Warren notes that the views of the host do not always reflect the station's sponsorships. Scared away,0.4888888888888889,0.21273968948994987,0.0,0.0,0,0,{},0.9694079160690308,0.8221346139907837
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,prefix_only,,1,203,ag_news,PeopleSoft sweetens employee compensation Business software maker PeopleSoft Friday said it was boosting compensation packages for all employees except its chief executive in a move,a company chief of PeopleSoft Inc said compensation boost PeopleSoft Inc. is releasing rewards for employees who pay for employee benefits to the software sappers,0.4000000000000001,0.025688686451917863,0.0,0.0,0,0,{},0.9883171916007996,0.860255777835846
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,procrustes_m16,16,0,312,ag_news,Warren tones down his bark #39; #39;The views of the host do not necessarily reflect the views of the station or its sponsors. #,"a biased viewpoint and does not reflect the hosts' views on the station. Warren warns of the constant sponsorships that entail a """,0.3913043478260869,0.04822685408657448,0.0,0.0,0,0,{},0.9537615180015564,0.7192083597183228
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,procrustes_m16,16,1,203,ag_news,PeopleSoft sweetens employee compensation Business software maker PeopleSoft Friday said it was boosting compensation packages for all employees except its chief executive in a move,PeopleSoft chief of peopleSoft.com Amongst the peopleSoft executives said the package would reward employees compensation for boosting company employee benefits or soft,0.37499999999999994,0.02537970889991089,0.0,0.0,0,0,{},0.980861246585846,0.8962586522102356
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,raw,,0,312,ag_news,Warren tones down his bark #39; #39;The views of the host do not necessarily reflect the views of the station or its sponsors. #,resonates about the host's views. Warren notes that the views of the host do not translate into the views of his sponsors; the station,0.6122448979591836,0.24919099664125402,0.0,0.0,0,0,{},1.0,0.855434775352478
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,raw,,1,203,ag_news,PeopleSoft sweetens employee compensation Business software maker PeopleSoft Friday said it was boosting compensation packages for all employees except its chief executive in a move,a compensation package PeopleSoft chief spokesman said the company is boosting compensation for all PeopleSoft employees with benefits to the lowest e-pay,0.4583333333333333,0.05489146294919027,0.0,0.0,0,0,{},1.0,0.8867105841636658
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,unknown_key,,0,312,ag_news,Warren tones down his bark #39; #39;The views of the host do not necessarily reflect the views of the station or its sponsors. #,a snout. Warren's views do not always reflect the hosts' slants; the next station Warren Barks:,0.39024390243902435,0.0403554878914141,0.0,0.0,0,0,{},0.9386852383613586,0.7023123502731323
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,3,149,149,0,2,2,0,unknown_key,,1,203,ag_news,PeopleSoft sweetens employee compensation Business software maker PeopleSoft Friday said it was boosting compensation packages for all employees except its chief executive in a move,a company chief from PeopleSoft said it was boosting the compensation packages of all employees and releasing compensation packages for all employees of former PeopleSoft chief,0.5490196078431373,0.25299749731262616,0.0,0.0,0,0,{},0.9770048260688782,0.9022342562675476
