dataset,split,dimension,explained_variance,projected_exact_ndcg10,projected_exact_recall100,pq_rerank_ndcg10,candidate_recall_at_100,pq_m,pq_code_bytes_per_doc,pq_serialized_bytes
arguana,validation,192,0.786945538630949,0.38984661198713183,0.9290780141843972,0.38550797976256096,0.8581560283687943,24,24,404870
arguana,strict_confirmatory,192,0.786945538630949,0.3814400487174047,0.9279359430604982,0.37885497963757075,0.8701067615658363,24,24,404870
arguana,validation,256,0.8603800265455347,0.41067362031160504,0.9326241134751773,0.40835071124154987,0.8794326241134752,32,32,539798
arguana,strict_confirmatory,256,0.8603800265455347,0.40886724089544835,0.9457295373665481,0.4069001187537113,0.8905693950177936,32,32,539798
arguana,validation,384,0.9505466360212657,0.43124434984519877,0.9397163120567376,0.43046485019090214,0.8971631205673759,48,48,809654
arguana,strict_confirmatory,384,0.9505466360212657,0.43143805498714616,0.9483985765124555,0.4296443733183991,0.902135231316726,48,48,809654
arguana,validation,512,0.9884413175331469,0.44710693322122913,0.9468085106382979,0.4452511934696289,0.8865248226950354,64,64,1079510
arguana,strict_confirmatory,512,0.9884413175331469,0.43309666277402814,0.9501779359430605,0.4312784921654533,0.9030249110320284,64,64,1079510
arguana,validation,672,0.9986937219541523,0.4478525058047401,0.9468085106382979,0.4474346422636028,0.8900709219858156,84,84,1416830
arguana,strict_confirmatory,672,0.9986937219541523,0.44178443718967747,0.951067615658363,0.4396303327901209,0.905693950177936,84,84,1416830
arguana,validation,768,1.0,0.44565856389150615,0.9468085106382979,0.44648795266765456,0.9219858156028369,96,96,1619222
arguana,strict_confirmatory,768,1.0,0.444341159571584,0.9537366548042705,0.4423529306675501,0.9119217081850534,96,96,1619222
fiqa,validation,192,0.7438799753299001,0.3281259126125823,0.6569162226662226,0.3164486231962883,0.5190946275946275,24,24,1580006
fiqa,strict_confirmatory,192,0.7438799753299001,0.31246954373349756,0.6621600792897089,0.3063986889992132,0.5203802541765504,24,24,1580006
fiqa,validation,256,0.8236553186763946,0.345385837207646,0.6779129981129981,0.33636424182293967,0.5405812798312799,32,32,2106646
fiqa,strict_confirmatory,256,0.8236553186763946,0.3431583273227314,0.6830577130345649,0.33861286030467314,0.546451370988408,32,32,2106646
fiqa,validation,384,0.9330292367019121,0.374747159132126,0.7041072483072482,0.37206598689707837,0.5759947718947719,48,48,3159926
fiqa,strict_confirmatory,384,0.9330292367019121,0.3686520387102437,0.7023551851098148,0.35788474283475635,0.5706872088816534,48,48,3159926
fiqa,validation,512,0.9847509798618708,0.390194016680896,0.7165826451326452,0.3868447802313134,0.585859779109779,64,64,4213206
fiqa,strict_confirmatory,512,0.9847509798618708,0.3779284754823808,0.6995045335323113,0.3668609760531006,0.5706313319739246,64,64,4213206
fiqa,validation,672,0.9982492258851602,0.3936099161033406,0.7166555389055388,0.38287143356404624,0.5778112443112443,84,84,5529806
fiqa,strict_confirmatory,672,0.9982492258851602,0.3801191211438288,0.7011102066657622,0.3670840534072969,0.5616421344430603,84,84,5529806
fiqa,validation,768,1.0,0.3950227222666232,0.7153722055722055,0.38959957364972636,0.6006733433233432,96,96,6319766
fiqa,strict_confirmatory,768,1.0,0.38133353403638226,0.7060484782707005,0.3749952997953494,0.5872365160559604,96,96,6319766
nfcorpus,validation,192,0.825881443366855,0.29344779168077073,0.2877202047170491,0.29053593732266425,0.2598583414386321,24,24,283886
nfcorpus,strict_confirmatory,192,0.825881443366855,0.3078190685562104,0.28781897679750956,0.30905956778557603,0.2638714840790268,24,24,283886
nfcorpus,validation,256,0.89186296806802,0.30514761061296025,0.2901836243602677,0.3017839059981081,0.26647299081572556,32,32,378486
nfcorpus,strict_confirmatory,256,0.89186296806802,0.31485537185160584,0.29195531210736814,0.31359326968085377,0.2674432368314627,32,32,378486
nfcorpus,validation,384,0.9644279416615998,0.30718167190540296,0.29002561663347814,0.30609158961876326,0.26480313881765094,48,48,567686
nfcorpus,strict_confirmatory,384,0.9644279416615998,0.3229692466844458,0.2921942491785949,0.32195738820577774,0.26637738139648565,48,48,567686
nfcorpus,validation,512,0.991329747121753,0.30801670341226395,0.28945175894982106,0.30669075275114516,0.2616792305741159,64,64,756886
nfcorpus,strict_confirmatory,512,0.991329747121753,0.3262046152365606,0.2871423304947563,0.32546268119669114,0.2601496106069126,64,64,756886
nfcorpus,validation,672,0.9990541689142762,0.3099246189738461,0.2888585250242892,0.3074915557765522,0.2607794589220506,84,84,993386
nfcorpus,strict_confirmatory,672,0.9990541689142762,0.3270303152080331,0.28653637606522003,0.3264564330387963,0.26048352388627893,84,84,993386
nfcorpus,validation,768,1.0,0.31199958861499144,0.2888744703992008,0.31079368771187127,0.2583467067619191,96,96,1135286
nfcorpus,strict_confirmatory,768,1.0,0.32484045058003935,0.28517336186517733,0.3254485815492617,0.2631093485328974,96,96,1135286
scidocs,validation,192,0.759248175970182,0.16485280927428064,0.42083333333333334,0.165501548403405,0.3456666666666668,24,24,812462
scidocs,strict_confirmatory,192,0.759248175970182,0.1381344556842787,0.36902083333333335,0.13511771939549821,0.2986875,24,24,812462
scidocs,validation,256,0.8438373394701387,0.17800392045671512,0.4271666666666667,0.17863152491553955,0.36766666666666664,32,32,1083254
scidocs,strict_confirmatory,256,0.8438373394701387,0.1515490490865436,0.38514583333333335,0.14899981358857828,0.3097291666666667,32,32,1083254
scidocs,validation,384,0.9473797064159986,0.19527033469008953,0.43516666666666665,0.1957085622451821,0.3759166666666667,48,48,1624838
scidocs,strict_confirmatory,384,0.9473797064159986,0.16278031951878738,0.3894583333333334,0.15989493540522098,0.3193125,48,48,1624838
scidocs,validation,512,0.9872228098907864,0.19906732362895269,0.42458333333333337,0.19986398572135167,0.3758333333333333,64,64,2166422
scidocs,strict_confirmatory,512,0.9872228098907864,0.16594951476032166,0.3858958333333334,0.16346701054628532,0.3221875,64,64,2166422
scidocs,validation,672,0.9984950378535733,0.19908737317230332,0.4305833333333333,0.19724742307418983,0.3771666666666667,84,84,2843402
scidocs,strict_confirmatory,672,0.9984950378535733,0.1661400589177412,0.3920625,0.16407669349178483,0.32304166666666667,84,84,2843402
scidocs,validation,768,1.0,0.19646361913511964,0.4315833333333333,0.19625849038263682,0.3730833333333334,96,96,3249590
scidocs,strict_confirmatory,768,1.0,0.1657567419468231,0.39027083333333334,0.1645592526118719,0.33222916666666663,96,96,3249590
scifact,validation,192,0.8055834191077198,0.6742841948981242,0.9392253811289658,0.6743617908502885,0.8978162340337865,24,24,321086
scifact,strict_confirmatory,192,0.8055834191077198,0.6664103955384716,0.9303333333333335,0.6666316706492107,0.9090000000000001,24,24,321086
scifact,validation,256,0.8789373615353664,0.6808184970234639,0.9355170992995469,0.6813504712121865,0.8990523279769261,32,32,428086
scifact,strict_confirmatory,256,0.8789373615353664,0.6829245235423502,0.9403333333333334,0.6831536428094764,0.9156666666666669,32,32,428086
scifact,validation,384,0.9609506221819614,0.7003368223447445,0.9478780387309436,0.7007198992878774,0.9089410795220436,48,48,642086
scifact,strict_confirmatory,384,0.9609506221819614,0.6884605975607327,0.936,0.6882820137243935,0.9206666666666669,48,48,642086
scifact,validation,512,0.9904863291798884,0.6990335955917768,0.9534404614750721,0.6992982566474518,0.9136794396374124,64,64,856086
scifact,strict_confirmatory,512,0.9904863291798884,0.6950387887352477,0.936,0.6958372804433365,0.9106666666666666,64,64,856086
scifact,validation,672,0.9989370729091241,0.6997858179497075,0.9484960857025134,0.6995158596445968,0.9126493613514626,84,84,1123586
scifact,strict_confirmatory,672,0.9989370729091241,0.6967798515468028,0.936,0.6960370587560317,0.9233333333333333,84,84,1123586
scifact,validation,768,1.0,0.6989332371725119,0.9484960857025134,0.6973168056392189,0.9019365471775855,96,96,1284086
scifact,strict_confirmatory,768,1.0,0.6954495319507862,0.9393333333333334,0.6943454970062439,0.8996666666666666,96,96,1284086
trec-covid,validation,192,0.7753619974859687,0.57874892892552,0.10842956688343056,0.5921987198436233,0.06809399958265326,24,24,4308662
trec-covid,strict_confirmatory,192,0.7753619974859687,0.6423049801119876,0.11257594876324659,0.6592555332245871,0.08807094555805983,24,24,4308662
trec-covid,validation,256,0.8481038260086458,0.6634540302083444,0.1271858525505486,0.6494058309340618,0.08301154751740877,32,32,5744854
trec-covid,strict_confirmatory,256,0.8481038260086458,0.6607848355210043,0.11859544504725691,0.6770495610265083,0.09065885491311557,32,32,5744854
trec-covid,validation,384,0.9430074785286668,0.7012908483199594,0.14431415387437357,0.673119045439577,0.09511545633311222,48,48,8617238
trec-covid,strict_confirmatory,384,0.9430074785286668,0.6722003367867855,0.1235411511448983,0.7031146739925829,0.09707513880541449,48,48,8617238
trec-covid,validation,512,0.986361955067997,0.6925070040814798,0.1442150643523164,0.6881153937250224,0.09397460362539936,64,64,11489622
trec-covid,strict_confirmatory,512,0.986361955067997,0.6835811114325593,0.12241509403066556,0.7003777548324919,0.09586486747535561,64,64,11489622
trec-covid,validation,672,0.9984462610950401,0.6929959629404109,0.14575446446577026,0.6962108487109032,0.08903000379058526,84,84,15080102
trec-covid,strict_confirmatory,672,0.9984462610950401,0.686702869521442,0.12068806462570669,0.7009933710393976,0.09345318791872982,84,84,15080102
trec-covid,validation,768,1.0,0.7018979689097378,0.14511579065062286,0.7049187287999872,0.0826637018455185,96,96,17234390
trec-covid,strict_confirmatory,768,1.0,0.695635362045381,0.12125037956359734,0.6853877858795535,0.08994539232639767,96,96,17234390
